contract_id,registry_id,customer_name,customer_inn,customer_kpp,budget_level,budget_name,extra_budget_source,purchase_method,notice_number,supplier_selection_result_date,basis_document_details,contract_date,contract_number,contract_subject,contract_price,budget_code,kosgu,kvr,ikz,supplier_name,supplier_inn,supplier_kpp,last_update_datetime,contract_execution_date
11,3050500271524000001,"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛЮКСЕМБУРГСКИЙ АГРОТЕХНОЛОГИЧЕСКИЙ ЛИЦЕЙ ИМ. М.И.ШИХСАИДОВА""",0505002715,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/10-0839/24,оплата стоимости потребленного газа,306359.92,001-0702-9900070020-247,,247,243050500271505050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-26 19:06:00,2024-12-31
12,3050500273024000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТЮПКУТАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0505002730,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/14-0855/24,поставка газа,148879.62,001-0702-9900070020-247,,247,243050500273005050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-23 17:20:00,2024-12-31
13,3050500274724000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""УЦМИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0505002747,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/04-0849/24К,поставка газа,560723.08,001-0702-9900070020-247,,247,243050500274705050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-24 18:02:00,2024-12-31
14,3050500275424000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МУЖУКАЙСКИЙ АГРОТЕХНОЛОГИЧЕСКИЙ ЛИЦЕЙ""",0505002754,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/16-0859/24К,поставка газа,97258.74,001-0702-9900070020-247,,247,243050500275405050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-27 11:03:00,2024-12-31
15,3050500279324000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГЕРМЕНЧИКСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0505002793,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/03-0838/24,оплата стоимости потребленного газа,193404.55,001-0702-9900070020-247,,247,243050500279305050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-28 11:02:00,2024-12-31
16,3050500280324000002,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАБАЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №1 ИМ. А.А.АРЗУЛУМОВА""",0505002803,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/01-0837/24,поставка газа,433724.68,001-0702-9900070020-247,,247,243050500280305050100100030010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-26 09:16:00,2024-12-31
17,3050500281024000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАБАЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 ИМЕНИ Б.Т.САТЫБАЛОВА""",0505002810,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/01-0854/24,закупка газа,600000.0,001-0702-9900070020-247,,247,243050500281005050100100010013522247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-24 18:02:00,2024-12-31
18,3050500282824000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БАБАЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 3 ИМЕНИ З.А МАРТУНКАЕВА""",0505002828,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/01-0850/24,поставка газа,269138.71,001-0702-9900070020-247,,247,243050500282805050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-24 19:15:00,2024-12-31
19,3050500283524000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СОВЕТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0505002835,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/06-0341/24К,оплата стоимости потребленного газа,157055.22,001-0702-9900070020-247,,247,243050500283505050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-27 17:28:00,2024-12-31
20,3050500284224000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АДИЛЬЯНГИЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ЗАКАРЬЯЕВА Д.М.""",0505002842,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/02-0840/24,поставка газа,409506.69,001-0702-9900070020-247,,247,243050500284205050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-26 11:08:00,2024-12-31
21,3050500285024000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГЕМЕТЮБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ.АМАНГИШИЕВОЙ З.Т.""",0505002850,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/14-0856/24К,оплата стоимости потреблённого газа,178702.32,001-0702-9900070020-247,,247,243050500285005050100100020010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-24 10:04:00,2024-12-31
22,3050500287424000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХАМАМАТЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №1 ИМЕНИ Р.Я. БЕКИШЕВА""",0505002874,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/05-0343/24К,поставка газа,576515.73,001-0702-9900070020-247,,247,243050500287405050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-27 18:02:00,2024-12-31
23,3050500288124000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ХАМАМАТЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2 ИМ.З.Х.ХИЗРИЕВА""",0505002881,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/05-0854/24К,Оплата стоимости потребленного газа,124229.61,001-0702-9900070020-247,,247,243050500288105050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-19 15:02:00,2024-12-31
24,3050500289924000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОКАРИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ Г.Г.ГАДЖИЕВА""",0505002899,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/14-0836/24К,газ природный,573108.81,001-0702-9900070020-247,,247,243050500289905050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-25 18:13:00,2024-12-31
25,3050500601124000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ЦЕНТР ТРАДИЦИОННОЙ КУЛЬТУРЫ НАРОДОВ РОССИИ ""ТАНГЧОЛПАН"" МУНИЦИПАЛЬНОГО РАЙОНА "" БАБАЮРТОВСКИЙ РАЙОН""",0505006011,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,,2024-01-01,12-6-02/01-0331/24,поставка газа,331725.76,001-0801-9900080010-247,,247,243050500601105050100100030013523247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-25 14:02:00,2024-12-31
26,3050500655824000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЯСЛИ-САД ""СОЛНЫШКО""",0505006558,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/01-0609/24,поставка газа,145852.97,001-0701-9900070010-247,,247,243050500655805050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-27 11:04:00,2024-12-31
27,3050500755124000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТАТАЮРТОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0505007551,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/17-0855/24К,поставка газа,392325.91,001-0702-9900070020-247,,247,243050500755105050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-25 18:11:00,2024-12-31
28,3050500784024000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ""СКАЗКА""",0505007840,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/05-0344/24К,поставка газа,102183.34,001-0701-9900070010-247,,247,243050500784005050100100040013523247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-27 17:56:00,2024-12-31
29,3050500828024000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ""ЛАСТОЧКА""",0505008280,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/17-0858/24К,поставка газа,85258.81,001-0701-9900070010-247,,247,243050500828005050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-25 17:27:00,2024-12-31
30,3050500945324000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ""ДРУЖБА""",0505009453,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/01-0853/24К,поставка газа,57648.42,001-0701-9900070010-247,,247,243050500945305050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-27 18:02:00,2024-12-31
31,3050500969324000001,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ""РАДУГА""",0505009693,050501001,Местный бюджет,"Бюджет Муниципального Образования ""Бабаюртовский район"" Бабаюртовского района Республики Дагестан",,"Закупка у единственного поставщика (подрядчика, исполнителя)",,,44-ФЗ,2024-01-01,12-6-02/08-0851/24,оплата стоимости потребленного газа,30202.2,001-0701-9900070010-247,,247,243050500969305050100100010010620247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ МАХАЧКАЛА""",0571008854,057101001,2024-12-24 18:03:00,2024-12-31
