customer_id,customer_name,customer_inn,customer_kpp
11,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД №14 ""ЛАСТОЧКА""",0542029553,054201001
12,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ"" ДЕТСКИЙ САД № 10 ""ДЮЙМОВОЧКА""""",0542013761,054201001
13,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""БЛАГОУСТРОЙСТВО ГОРОДА МАХАЧКАЛЫ""",0571021140,057101001
14,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ № 22""",0562066722,057201001
15,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГИМНАЗИЯ №37 ИМЕНИ ГЕРОЯ РОССИЙСКОЙ ФЕДЕРАЦИИ НУРБАГАНДОВА МАГОМЕДА НУРБАГАНДОВИЧА""",0561056538,057101001
16,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №13""",0571017344,057101001
17,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГИМНАЗИЯ № 13""",0562062950,057201001
18,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №10""",0571016647,057101001
19,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ХАСАВЮРТ""",0544000486,054401001
20,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЕДИНАЯ СЛУЖБА ЗАКАЗЧИКА""",0534003745,054401001
21,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 41 ИМЕНИ БАГИРОВА ЭЛЬДАРА РУСЛАНОВИЧА""",0560034980,057301001
22,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МАНАСКЕНТСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0522011371,052201001
23,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №48""",0561041796,057101001
24,"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ТРАНСПОРТА,СВЯЗИ И ДОРОЖНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГОРОДА МАХАЧКАЛЫ""",0571005028,057101001
25,УПРАВЛЕНИЕ ИМУЩЕСТВЕННЫХ И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА МАХАЧКАЛЫ,0572007236,057201001
26,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦВЕТКОВСКАЯ ГИМНАЗИЯ"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0517011591,051701001
27,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ОБРАЗОВАНИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХИВСКИЙ РАЙОН""",0500011000,050001001
28,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МАХАЧКАЛИНСКИЙ МНОГОПРОФИЛЬНЫЙ ЛИЦЕЙ № 39 ИМ. Б. АСТЕМИРОВА""",0561053216,057101001
29,"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА С ВНУТРИГОРОДСКИМ ДЕЛЕНИЕМ ""ГОРОД МАХАЧКАЛА""",0562042520,057201001
30,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГИМНАЗИЯ № 2 ИМ. А.М.САЙТИЕВА""",0544001930,054401001
31,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №17 ИМ. ДАЦАЕВА М.М.""",0544020595,054401001
32,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД № 28 ""ДЕЛЬФИН""",0542015208,054201001
33,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕЛО ЧИРКЕЙ""",0507023485,050701001
34,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОРТАСТАЛЬСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ. Р.А.ХАЛИКОВА""",0529010627,052901001
35,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МНОГОПРОФИЛЬНЫЙ ЛИЦЕЙ № 30""",0562066994,057201001
36,"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛЬСОВЕТ "" БОЛЬШЕБРЕДИХИНСКИЙ"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0517003752,051701001
37,"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛЬСОВЕТ ""ЯСНОПОЛЯНСКИЙ"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0517003400,051701001
38,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОКОХАНОВСКИЙ ДЕТСКИЙ САД"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0517004770,051701001
39,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 15 ""ЗВЕЗДОЧКА""",0522017454,052201001
40,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕЛО НИЖНЕЕ КАЗАНИЩЕ""",0507023598,050701001
41,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 25 ""АИСТЕНОК""",0522022905,052201001
42,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ШАУМЯНОВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0547005838,051701001
43,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛО УЛЛУБИЙАУЛ"" КАРАБУДАХКЕНТСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0522009238,052201001
44,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 5 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА А.Д. АБДУЛМЕДЖИДОВА""",0545020460,055401001
45,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №16 ""ЧЕБУРАШКА""""",0542015381,054201001
46,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ПАРАУЛЬСКАЯ ДЕТСКО-ЮНОШЕСКАЯ СПОРТИВНАЯ ШКОЛА ИМ.АБДУРАГИМОВА МАГОМЕД-ШАМИЛЯ МАГОМЕДОВИЧА""",0522012079,052201001
47,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ШКОЛА - ДЕТСКИЙ САД №71""",0562068455,057201001
48,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ"" ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД №30 ""УЛЫБКА""""",0542015342,054201001
49,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГУНИБСКИЙ РАЙОН""",0510006955,051001001
50,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МНОГОПРОФИЛЬНЫЙ ЛИЦЕЙ №5""",0562062911,057201001
51,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ"" ДЕТСКИЙ САД №21 ""АЛЕНЬКИЙ ЦВЕТОЧЕК""",0542015159,054201001
52,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ №52""",0560022085,057301001
53,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ СТРОИТЕЛЬСТВА, ДОРОЖНО-ТРАНСПОРТНОГО И ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВ"" МУНИЦИПАЛЬНОГО РАЙОНА ""ЦУМАДИНСКИЙ РАЙОН"" РЕСПУБЛИКИ ДАГЕСТАН",0537002651,053701001
54,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СЕЛЬСОВЕТ ""ГООРСКИЙ""",0528004170,052801001
55,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ЛАКСКИЙ РАЙОН""",0520003826,052001001
56,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""ДЕРБЕНТСКИЙ РАЙОН"" РЕСПУБЛИКИ ДАГЕСТАН",0512008700,051201001
57,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ БЛАГОУСТРОЙСТВА, ОЗЕЛЕНЕНИЯ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА"" АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗИЛЮРТ""",0500000908,050001001
58,"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ИЗБЕРБАШ"" РЕСПУБЛИКИ ДАГЕСТАН",0548008091,054801001
59,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД №59""",0562068529,057201001
60,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА"" ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""",0547009896,054701001
61,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ №51"" ИМЕНИ АЙТЕМИРОВА УМАРА ИБАДУЛАЕВИЧА",0560021645,057301001
62,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФИНАНСОВОЕ УПРАВЛЕНИЕ"" АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД МАХАЧКАЛА""",0562077001,057201001
63,"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛО ЭМИНХЮР"" СУЛЕЙМАН-СТАЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0529007617,052901001
64,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НОВОБИРЮЗЯКСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0547006310,051701001
65,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СТЕПНОВСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0547006158,051701001
66,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГИМНАЗИЯ № 33 ИМ. С.Ш. АЛИЕВА""",0560022141,057301001
67,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 19 ИМ. Г.И. ЩЕДРИНА"" ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""",0542009349,054201001
68,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЭДИГЕЙСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0525005922,052501001
69,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ОРТАТЮБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""",0525006154,052501001
70,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БОЛЬШЕАРЕШЕВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ МАГОМЕДОВА ШАПИЛА КУРБАНОВИЧА"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0517008616,051701001
71,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД ""ЛАШЫН"" АДМИНИСТРАЦИИ МР ""НОГАЙСКИЙ РАЙОН"" СЕЛО БАТЫР-МУРЗА",0525006394,052501001
72,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №5 ""ЛАЧИН""",0522011572,052201001
73,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СПЕЦИАЛЬНАЯ (КОРРЕКЦИОННАЯ) ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИНТЕРНАТ II ВИДА""",0561056760,057101001
74,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №19""",0544011255,054401001
75,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЧЕРВЛЕННО-БУРУНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМ.З.М.АКМУРЗАЕВА""",0525005898,052501001
76,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД №87 ""ЭЛЬНУР""",0560034813,057301001
77,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №24 ""ОРЛЁНОК""",0522022824,052201001
78,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 12""",0560035285,057301001
79,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЗАРЕЧЕНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА"" КИЗЛЯРСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0517011930,051701001
80,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №11 ИМ. Ш.С.АБРАМОВА"" ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""",0542015110,054201001
81,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА ГОРОДА БУЙНАКСКА""",0543000726,054301001
82,"АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО РАЙОНА ""ЛЕНИНСКИЙ РАЙОН"" ГОРОДА МАХАЧКАЛЫ",0571006906,057101001
83,"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛЬСОВЕТ АХТЫНСКИЙ"" АХТЫНСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0504005047,050401001
84,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 7 ""УЛЫБКА""",0544009023,054401001
85,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ -ДЕТСКИЙ САД №3""БЕРЕЗКА""",0544001641,054401001
86,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА"" АДМИНИСТРАЦИИ МР ""НОГАЙСКИЙ РАЙОН"" РЕСПУБЛИКИ ДАГЕСТАН",0525001565,052501001
87,"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛО ЗИЛО"" БОТЛИХСКОГО РАЙОНА РЕСПУБЛИКИ ДАГЕСТАН",0506002179,050601001
88,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №73 КОМБИНИРОВАННОГО ВИДА""",0562068462,057201001
89,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ШКОЛА - ДЕТСКИЙ САД №68""",0561056792,057101001
90,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""НАЧАЛЬНАЯ ШКОЛА - ДЕТСКИЙ САД №78""",0561056601,057101001
91,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 12 ИМ. Н.Ш. КАЗИАХМЕДОВА"" ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""",0542015134,054201001
92,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕРБЕНТСКИЙ КАДЕТСКИЙ КОРПУС(ШКОЛА-ИНТЕРНАТ)"" ИМЕНИ В.А.ЭМИРОВА",0542015039,054201001
93,"УПРАВЛЕНИЕ ЗЕМЕЛЬНЫХ И ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""",0542033052,054201001
94,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА ""МАГАРАМКЕНТСКИЙ РАЙОН""",0523001136,052301001
95,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",0523004761,052301001
96,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ПРОГИМНАЗИЯ №9 ""РУЧЕЕК""",0544001480,054401001
